ad_id,ad_text,industry,platform,date,day_of_week,hour,impressions,clicks,ctr,cpc,cost,conversions,cvr,revenue,roi,sentiment_score,performance
AD_0001,🚀 Revolutionary AI software that transforms your business operations!,tech,Google Ads,2024-10-14,Monday,8,17850,478,0.0268,2.82,1347.44,13,0.0274,2344.39,0.74,0.65,High
AD_0002,💳 Get approved for loans in 24 hours. Apply today!,finance,Google Ads,2024-02-24,Saturday,23,1769,76,0.043,1.57,119.38,1,0.0184,155.31,0.301,0.6,Medium
AD_0003,💻 Cut costs by 40% with our automated solutions. Try free trial!,tech,Facebook,2024-08-17,Saturday,13,19942,346,0.0174,0.99,344.15,7,0.0226,1360.24,2.952,0.65,High
AD_0004,🚀 Revolutionary AI software that transforms your business operations!,tech,Google Ads,2024-02-06,Tuesday,6,2899,167,0.0579,2.27,379.8,10,0.0655,2795.67,6.361,0.65,High
AD_0005,💰 Secure your financial future with our investment platform,finance,Facebook,2024-08-05,Monday,6,15502,159,0.0103,1.38,219.47,0,0.001,0.0,-1.0,0.55,Low
AD_0006,🩺 Advanced healthcare solutions for better living,healthcare,Facebook,2024-06-23,Sunday,18,24483,284,0.0116,0.83,234.69,5,0.0199,409.61,0.745,0.5,High
AD_0007,🛍️ Flash sale! 50% off on all items. Shop now!,ecommerce,Facebook,2024-10-21,Monday,5,4943,82,0.0168,1.39,113.72,2,0.0326,233.16,1.05,0.7,High
AD_0008,🔬 Cutting-edge medical technology at your service,healthcare,Facebook,2024-04-17,Wednesday,4,7873,101,0.0129,1.23,124.43,0,0.001,0.0,-1.0,0.5,Low
AD_0009,"💸 Save more, spend wisely. Download our app!",finance,LinkedIn,2024-02-09,Friday,2,41397,277,0.0067,5.16,1430.45,2,0.0085,157.5,-0.89,0.65,Low
AD_0010,💊 Prescription delivery to your door. Order now!,healthcare,Facebook,2024-05-19,Sunday,11,22243,316,0.0142,1.71,539.54,1,0.0054,145.97,-0.729,0.6,Low
AD_0011,🛍️ Flash sale! 50% off on all items. Shop now!,ecommerce,Facebook,2024-10-10,Thursday,14,3695,29,0.0079,0.54,15.77,1,0.0637,102.35,5.488,0.7,High
AD_0012,🌟 Transform your business with AI. Limited time offer!,tech,Instagram,2024-01-31,Wednesday,17,39952,562,0.0141,0.75,421.84,9,0.0172,2174.41,4.155,0.75,High
AD_0013,🌟 Premium quality at unbeatable prices,ecommerce,Google Ads,2024-08-12,Monday,6,20115,1248,0.062,3.73,4659.4,80,0.0645,6969.4,0.496,0.8,Medium
AD_0014,🚀 Revolutionary AI software that transforms your business operations!,tech,Google Ads,2024-09-13,Friday,7,18412,821,0.0446,1.85,1522.86,41,0.0502,11289.91,6.414,0.65,High
AD_0015,📦 Free shipping on orders over $50. Limited time!,ecommerce,Google Ads,2024-11-28,Thursday,7,24419,228,0.0094,3.32,757.39,2,0.0127,210.04,-0.723,0.75,Low
AD_0016,🌟 Transform your business with AI. Limited time offer!,tech,Google Ads,2024-04-17,Wednesday,14,2678,109,0.0409,2.86,311.43,2,0.0189,611.56,0.964,0.75,High
AD_0017,👗 New collection just dropped. Be the first to shop!,ecommerce,Facebook,2024-05-23,Thursday,11,44585,582,0.0131,0.96,558.23,6,0.0107,608.54,0.09,0.65,Medium
AD_0018,📊 Smart investment tools for modern investors,finance,Facebook,2024-09-29,Sunday,21,26939,224,0.0083,1.09,244.19,3,0.0157,580.77,1.378,0.5,High
AD_0019,⚡ Speed up your workflow with cutting-edge technology,tech,LinkedIn,2024-07-26,Friday,23,24776,206,0.0083,4.44,915.13,8,0.041,1213.21,0.326,0.65,Medium
AD_0020,"🏦 Bank with confidence. Zero fees, maximum returns",finance,Facebook,2024-06-28,Friday,12,22959,204,0.0089,0.71,145.01,1,0.0052,282.46,0.948,0.5,High
AD_0021,🎁 Perfect gifts for every occasion. Browse our store,ecommerce,Instagram,2024-09-22,Sunday,10,8994,78,0.0087,0.67,52.5,3,0.0388,94.39,0.798,0.5,High
AD_0022,"🔥 Join 10,000+ companies using our AI-powered platform",tech,Instagram,2024-11-15,Friday,1,18675,277,0.0149,0.97,268.75,7,0.0285,871.41,2.242,0.65,High
AD_0023,🔥 Hot deals alert! Don't miss out on savings,ecommerce,Google Ads,2024-04-13,Saturday,2,47645,2122,0.0445,4.96,10532.0,89,0.042,6604.41,-0.373,0.75,Low
AD_0024,"💸 Save more, spend wisely. Download our app!",finance,Instagram,2024-03-23,Saturday,20,39559,601,0.0152,1.79,1075.69,21,0.0359,4314.03,3.01,0.65,High
